scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_138.png,251.03616237015945,120.42548284055425,373.0974157903053,224.49052582055032,279.9865878608351,187.71566100807053,297.20035436880437,157.9827915852145,269.8148167424896,147.02857653468857,343.36454636744924,167.37211877137952,344.9294342318101,124.3377025014563,361.360756807599,168.15456270355992,283.1163635895567,225.27296975273077,337.8874388421863,207.27675931258108,609.3954833087928,269.87227388701467,597.6588243260865,222.92563795618935,551.4946323274415,215.10119863438513,560.8839595136067,249.52873165032372,488.8991177530078,235.44474087107614,499.0708888713533,284.73870859844277,455.25402866924964,255.78828310776714,347.27676602835135,218.23097436310695
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_254.png,360.57831287541853,114.94837531529123,457.6013604657909,341.07467171543317,395.7882898235375,119.64303890837374,381.70429904428994,131.37969789108007,411.43716846714597,138.42169328070383,362.92564467195984,212.753866837844,412.2196123993264,217.4485304309265,392.65851409481587,242.4867362607,445.08225755090416,334.8151202579898,276.07436819993296,111.81859958656958,395.0058458913571,266.74249815829313,387.9638505017333,247.96384378596298,360.57831287541853,216.6660864987461,355.1012053501556,245.61651198942172,343.36454636744924,183.80344134716836,294.8530225722631,204.92942751603982,304.24234975842813,168.93700663574037,355.1012053501556,118.86059497619334
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_325.png,312.8492330124128,115.73081924747169,536.6281976160135,238.5745165997978,530.3686461585702,230.75007727799357,525.6739825654877,197.10498819423543,519.4144311080443,210.40653504130262,480.29223449902315,161.89501124611644,445.86470148308456,192.41032460115298,429.4333789072957,165.0247869748382,321.45611626639743,134.50947361980178,464.6433558554147,143.89880080596674,548.3648565987198,326.2082370040051,484.20445415992526,319.16624161438136,520.1968750402247,311.3418022925771,502.9831085322554,289.4333721915253,549.1473005309003,257.35317097212794,496.723557074812,247.18139985378247,533.4984218872919,222.92563795618935,524.8915386333072,148.59346439904925
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_355.png,216.60862935422088,171.2843384322817,379.3569672477487,313.68913408911845,369.9676400615836,301.1700311742317,338.6698827743667,266.74249815829313,328.49811165602125,299.60514330987087,287.0285832504589,247.18139985378264,269.8148167424896,297.25781151332967,254.16593809888116,258.13561490430857,258.07815775978327,176.76144595754465,207.2193021680558,105.55904812912621,391.093626230455,205.71187144822017,233.03995193000975,200.2347639229573,240.86439125181397,165.02478697483832,211.13152182895791,165.80723090701878,276.07436819993296,138.42169328070395,240.0819473196335,113.38348745093043,283.8988075217372,120.4254828405542,378.5745233155683,136.85680541634304
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_536.png,237.73461552309226,164.24234304265786,367.62030826504235,316.0364658856597,337.8874388421863,172.06678236446203,319.8912284020366,180.6736656184467,362.1432007397794,183.80344134716836,305.807237622789,250.3111755825043,361.360756807599,250.3111755825043,326.9332237916604,280.8264889375408,233.03995193000975,302.73491903859264,65.59695044339941,197.88743212641617,206.43685823587538,352.81133069813967,78.11605335828615,332.4677884614488,111.76114244204432,291.7807039880668,85.94049268009037,275.349381412278,188.44064779572568,311.3418022925773,150.10089511888498,272.2196056835562,182.96354027046272,290.2158161237059,222.86818081166425,213.5363107700245
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_753.png,257.2957138276028,179.1087777540859,384.0516308408312,337.1624520545311,344.9294342318101,185.36832921152921,330.0629995203821,184.58588527934882,356.6660932145164,183.80344134716836,314.41412087677367,247.18139985378258,369.1851961294032,245.61651198942172,338.6698827743667,284.7387085984429,251.03616237015945,315.25402195347937,78.11605335828615,198.66987605859657,213.47885362549917,353.5937746303201,112.54358637422474,341.85711564761385,115.67336210294643,281.6089328697213,79.68094122264701,287.0860403949843,161.8375541015913,317.60135375002073,149.31845118670455,276.1318253444583,169.66199342339553,289.4333721915255,210.3490778967775,226.0554136849113
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_761.png,182.1810963382823,187.71566100807058,384.0516308408312,330.1204566649073,187.65820386354525,323.07846127528364,215.04374148986003,318.3837976822011,184.52842813482357,289.4333721915255,277.6392560642938,279.2616010731799,228.3452883369272,243.26918019288053,270.59726067467,236.2271848032567,366.83786433286195,190.84543673679218,220.520849015123,100.08194060386327,331.6278873847429,194.7576563976943,323.0210041307583,100.86438453604362,294.8530225722631,111.03615565438912,321.45611626639743,129.81481002671927,251.81860630233984,136.0743614841627,276.07436819993296,177.54388988972505,238.5170594552727,167.37211877137958,242.42927911617483,119.6430389083738
labeled-data,0085,A_male_meet_with_a_female_top_view_1_2022-08-10_15-45-58_973.png,141.49401186490033,107.90637992566752,281.5514757251959,280.0440450053604,143.8413436614416,270.65471781919535,175.1391009486585,246.3989559216023,150.10089511888498,224.4905258205505,231.4750640656489,233.09740907453505,204.87197037151455,196.3225442620552,233.82239586219015,196.3225442620552,279.9865878608351,131.37969789108013,31.169417427460832,240.13940446415899,269.03237281030914,349.68155496941796,42.123632477986746,311.3418022925774,66.37939437557982,295.69292364896893,43.68852034234759,258.91805883648914,143.05889972926119,308.21202656385566,124.28024535693108,259.7005027686695,158.70777837286963,280.04404500536043,257.2957138276028,249.5287316503239
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_1096.png,315.97900874113446,97.73460880732193,495.1586692104512,335.5975641901702,348.8416538927122,107.90637992566741,380.1394111799291,120.42548284055414,377.79207938338783,107.12393599348695,397.3531776878984,242.4867362607,453.6891408048888,232.31496514235448,446.647145415265,256.5707270399476,371.53252792594446,338.72733991889197,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_143.png,108.63136671332262,16.36043986055816,279.9865878608351,340.2922277832529,148.53600725452415,24.18487918236235,158.70777837286963,53.91774860521841,208.78419003241666,31.226874571986116,148.53600725452415,229.185189413633,228.3452883369272,229.18518941363294,222.08573687948382,274.56693748009747,272.16214853903085,266.7424981582932,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_183.png,,,295.6354665044435,176.7614459575446,417.6967199245894,251.8760634468651,402.04784128098095,212.753866837844,377.00963545120743,186.93321707589007,386.3989626373725,197.10498819423555,328.49811165602125,205.71187144822022,353.53631748579477,221.36075009182866,330.8454434525625,224.49052582055037,308.15456941933024,250.3111755825043,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_214.png,256.5132698954224,60.95974399484214,346.49432209617095,249.52873165032383,307.37212548714984,249.5287316503239,325.36833592729954,225.27296975273077,291.7232468435414,227.62030154927209,336.3225509778255,152.50568405995148,283.1163635895567,151.72324012777108,308.9370133515107,114.94837531529123,314.41412087677367,65.65440758792462,302.67746189406733,105.55904812912615,439.6051500256412,249.52873165032378,424.73871531421315,112.60104351874992,390.3111822982746,124.33770250145625,409.87228060278517,121.20792677273454,389.52873836609416,193.97521246551383,422.3913835176719,199.4523199907768,376.227191519027,226.83785761709157,323.8034480629387,239.35696053197836
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_223.png,170.44443735557596,222.14319402400918,351.1889856892535,323.860905207464,185.31087206700397,282.3913768019017,232.25750799782932,242.48673626070013,191.57042352444736,238.57451659979802,283.1163635895567,275.3493814122778,245.55905484489648,227.62030154927209,283.1163635895567,250.3111755825043,323.8034480629387,243.26918019288047,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_39.png,118.80313783166811,83.65061802807446,431.780710703837,324.64334913964433,151.66578298324583,92.25750128205908,199.39486284625158,114.94837531529129,199.39486284625158,114.94837531529129,202.52463857497327,252.65850737904566,268.24992887812874,222.92563795618952,262.7728213528658,265.17761029393233,385.61651870519205,314.47157802129885,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_534.png,165.74977376249342,191.6278806689727,296.4179104366239,279.2616010731799,185.31087206700397,255.0058391755869,221.3032929473034,221.36075009182872,201.74219464279284,208.841647176942,268.24992887812874,244.05162412506093,247.90638664143773,204.14698358385942,275.2919242677525,221.36075009182872,297.20035436880437,222.92563795618952,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_559.png,214.2612975576796,183.80344134716847,315.97900874113446,289.4333721915254,263.5552652850462,210.4065350413028,250.25371843797905,188.49810494025098,277.6392560642938,192.4103246011531,222.08573687948382,223.70808188836997,264.33770921722663,243.26918019288053,229.91017620128804,238.57451659979802,248.6888305736182,283.1738207340821,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_594.png,214.2612975576796,100.08194060386327,307.37212548714984,240.13940446415882,232.25750799782932,111.81859958656958,240.86439125181397,122.77281463709551,254.94838203106156,114.16593138311083,237.73461552309226,183.02099741498802,261.9903774206854,172.84922629664254,271.3797046068504,206.49431538040068,304.24234975842813,233.87985300671545,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_709.png,261.2079334885049,165.02478697483832,415.3493881280481,240.92184839633916,397.3531776878984,210.40653504130267,369.9676400615836,183.80344134716836,391.093626230455,193.19276853333344,330.0629995203821,202.5820957194985,366.0554204006815,217.4485304309265,336.3225509778255,215.8836425665657,274.5094803355721,238.57451659979796,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_772.png,264.33770921722663,153.28812799213193,390.3111822982746,233.097409074535,272.94459247121125,165.02478697483826,298.7652422331652,167.37211877137952,305.807237622789,168.93700663574037,351.1889856892535,193.19276853333344,351.9714296214339,214.31875470220484,373.8798597224857,215.8836425665657,385.61651870519205,212.753866837844,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_839.png,182.1810963382823,133.72702968762144,407.52494880624386,262.04783456521056,201.74219464279284,143.8988008059669,233.82239586219015,150.94079619559074,238.5170594552727,143.11635687378651,252.6010502345203,228.40274548145248,282.3339196573763,205.71187144822022,293.28813470790226,229.96763334581334,390.3111822982746,252.6585073790455,309.71945728369116,140.76902507724515,406.74250487406346,237.7920726676175,392.65851409481587,151.72324012777102,367.62030826504235,152.50568405995148,397.3531776878984,158.76523551739484,344.1469902996297,205.71187144822022,377.00963545120743,208.84164717694188,349.62409782489266,226.83785761709163,325.36833592729954,239.35696053197836
labeled-data,0085,A_male_meet_with_the_other_cage_male_face_view_3_2022-08-10_15-46-01_961.png,185.31087206700397,129.03236609453893,458.38380439797135,330.1204566649073,459.94869226233214,143.89880080596674,369.1851961294032,145.46368867032766,420.04405172113064,145.46368867032766,299.5476861653456,272.21960568355615,369.9676400615836,275.34938141227775,281.5514757251959,282.39137680190163,201.74219464279284,264.395166361752,215.82618542204045,159.54767944957536,289.37591504700015,265.17761029393233,250.25371843797905,167.37211877137958,244.77661091271608,176.76144595754465,261.2079334885049,171.2843384322817,233.82239586219015,204.14698358385942,269.03237281030914,208.84164717694193,240.0819473196335,229.96763334581334,220.520849015123,262.0478345652107
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1023.png,233.03995193000975,210.4065350413028,569.4908427675913,325.42579307182467,256.5132698954224,247.18139985378264,271.3797046068504,237.00962873543716,308.15456941933024,224.49052582055037,333.19277524910376,305.8646947673143,404.3951730775222,268.30738602265393,421.6089395854915,294.9104797167883,552.2770762596219,302.7349190385924,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1110.png,125.06268928911147,206.4943153804008,411.43716846714597,344.98689137633534,256.5132698954224,256.5707270399477,204.87197037151455,205.71187144822028,236.16972765873143,224.49052582055043,136.0169043396374,286.30359646280385,227.56284440474678,290.2158161237059,182.1810963382823,313.68913408911857,409.87228060278517,344.98689137633534,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1126.png,65.59695044339941,56.26508040175972,221.3032929473034,312.9066901569381,102.37181525587924,57.829968266120545,87.50538054445123,93.03994521423957,135.23446040745696,93.03994521423954,100.8069273915184,215.88364256656587,168.0971055590347,214.31875470220496,148.53600725452415,273.78449354791707,215.04374148986003,256.5707270399477,137.58179220399822,220.57830615964838,478.7273466346623,323.0784612752835,157.9253344406892,269.87227388701496,196.2650871175299,236.22718480325676,255.73082596324195,302.73491903859264,298.7652422331652,267.5249420904736,311.28434514805195,294.91047971678836,470.1204633806777,313.6891340891184,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1128.png,130.53979681437443,178.32633382190556,249.4712745057986,321.5135734109228,213.47885362549917,217.4485304309266,182.96354027046272,194.7576563976944,204.87197037151455,203.36453965167902,141.49401186490033,227.62030154927214,186.0933159991844,246.39895592160224,145.40623152580244,247.96384378596315,188.44064779572568,308.99447049603606,168.87954949121513,218.23097436310707,299.5476861653456,326.20823700400524,272.16214853903085,300.3875872420513,284.6812514539176,242.48673626070007,234.60483979437058,240.92184839633927,254.94838203106156,232.3149651423546,193.1353113888082,267.52494209047364,198.61241891407116,257.35317097212817,160.27266623723048,254.22339524340651
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_1165.png,169.66199342339553,172.06678236446214,382.4867429764704,275.34938141227775,177.48643274519975,177.5438898897251,197.0475310497103,191.6278806689727,206.43685823587538,183.02099741498802,208.00174610023623,247.1813998537827,247.90638664143773,219.79586222746786,255.73082596324195,253.440951311226,373.8798597224857,264.3951663617519,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_254.png,168.87954949121513,136.85680541634315,394.2234019591767,275.34938141227775,174.35665701647807,136.85680541634315,198.61241891407116,146.24613260250823,207.2193021680558,138.42169328070395,201.74219464279284,230.7500772779938,241.64683518399437,225.27296975273083,248.6888305736182,248.7462877181435,368.40275219722275,268.307386022654,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_384.png,163.40244196595216,134.5094736198019,379.3569672477487,273.7844935479169,175.92154488083892,140.76902507724526,201.74219464279284,155.63545978867324,206.43685823587538,143.8988008059669,205.65441430369495,229.18518941363294,250.25371843797905,231.5325212101742,255.73082596324195,247.96384378596304,371.53252792594446,269.8722738870148,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_side_view_4_2022-08-10_15-46-03_575.png,112.54358637422474,201.79965178731823,255.73082596324195,304.2998069029535,190.0055356600865,256.57072703994777,204.08952643933412,208.841647176942,160.27266623723048,208.0592032447616,187.65820386354525,274.56693748009747,128.97490895001357,263.6127224295716,160.27266623723048,270.65471781919535,243.99416698053562,266.7424981582932,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_1006.png,337.10499491000587,217.44853043092655,555.4068519883436,330.90290059708764,548.3648565987198,323.8609052074638,541.3228612090961,287.08604039498397,523.3266507689464,309.77691442821623,492.0288934817295,252.65850737904543,474.0326830415798,304.2998069029533,448.2120332796258,265.1776102939322,347.27676602835135,226.83785761709163,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_1021.png,339.4523267065471,220.5783061596482,562.4488473779675,328.5555688005464,551.4946323274415,313.68913408911834,542.1053051412765,286.30359646280357,527.2388704298485,312.12424622475754,489.6815616851882,254.2233952434063,470.1204633806777,304.2998069029533,451.3418090083475,266.7424981582931,343.36454636744924,228.40274548145243,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_1084.png,445.08225755090416,147.8110204668689,553.8419641239828,339.50978385107226,489.6815616851882,339.5097838510723,514.7197675149617,315.2540219534792,494.37622527827074,309.7769144282163,547.5824126665394,272.219605683556,503.7655524644358,256.57072703994754,535.0633097516527,240.9218483963391,510.02510392187924,157.98279158521433,350.40654175707306,129.81481002671921,535.8457536838331,250.31117558250418,529.5862022263898,235.44474087107614,521.7617629045856,212.75386683784387,506.8953281931575,237.7920726676174,489.6815616851882,180.6736656184466,452.1242529405279,210.40653504130267,455.25402866924964,171.28433843228157,362.92564467195984,143.89880080596686
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_1111.png,346.49432209617095,122.77281463709545,546.799968734359,247.96384378596287,532.7159779551114,240.9218483963391,540.5404172769156,205.71187144822005,520.1968750402247,226.83785761709152,497.5060010069924,153.28812799213182,460.7311361945126,176.76144595754448,458.38380439797135,148.5934643990493,358.2309810788773,136.07436148416264,174.35665701647807,233.8798530067155,395.0058458913571,348.11666710505705,201.74219464279284,246.39895592160224,180.61620847392146,263.61272242957153,209.56663396459706,258.918058836489,206.43685823587538,320.7311294787424,258.07815775978327,296.47536758114927,258.86060169196367,323.86090520746404,379.3569672477487,341.0746717154332
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_163.png,122.71535749257022,44.52842141905336,301.1125740297065,208.84164717694193,138.36423613617865,50.787972876496724,152.44822691542626,87.56283768897657,172.79176915211724,64.87196365574431,172.79176915211724,144.68124473814737,208.78419003241666,121.99037070491511,208.78419003241666,151.72324012777113,292.5056907757218,208.05920324476148,229.91017620128804,215.10119863438536,445.86470148308456,334.8151202579898,427.86849104293486,231.53252121017408,401.2653973488005,237.7920726676175,436.4753742969195,254.22339524340634,355.883649282336,294.1280357846079,403.61272914534175,316.0364658856597,353.53631748579477,321.5135734109227,242.42927911617483,320.73112947874233
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_165.png,281.5514757251959,232.3149651423546,552.2770762596219,330.12045666490724,541.3228612090961,280.0440450053602,503.7655524644358,258.9180588364888,501.4182206678945,291.78070398806653,435.6929303647391,248.74628771814338,434.1280425003782,298.04025544550996,397.3531776878984,283.95626466626237,281.5514757251959,324.64334913964444,118.80313783166811,39.05131389379039,280.7690317930155,198.66987605859646,130.53979681437443,41.39864569033165,133.6695725430961,76.60862263845067,157.14289050850877,54.700192537398834,179.83376454174103,114.94837531529134,207.2193021680558,92.25750128205905,200.95975071061244,123.55525856927596,267.4674849459483,190.06299280461178
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_418.png,285.46369538609804,234.6622969388959,530.3686461585702,330.90290059708764,506.8953281931575,265.1776102939322,498.2884449391729,249.52873165032378,502.9831085322554,283.9562646662623,440.3875939578216,243.2691801928804,439.6051500256412,297.25781151332956,399.70050948443964,275.34938141227775,293.28813470790226,319.9486855465619,117.23824996730725,24.967323114542808,283.8988075217372,196.32254426205515,151.66578298324583,30.444430639805745,132.10468467873528,46.093309283414186,168.0971055590347,43.7459774868729,154.79555871196752,117.2957071118326,194.70019925316905,91.47505734987865,186.87575993136483,119.64303890837385,261.9903774206854,186.93321707589013
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_618.png,113.32603030640514,17.142883792738587,271.3797046068504,193.9752124655139,161.8375541015913,22.619991318001496,133.6695725430961,49.22308501213587,166.53221769467385,48.44064107995544,159.49022230505005,125.12014643363682,191.57042352444736,97.73460880732202,193.1353113888082,122.77281463709556,263.5552652850462,188.49810494025098,371.53252792594446,193.19276853333344,513.9373235827813,348.8991110372374,378.5745233155683,219.01341829528735,411.43716846714597,236.22718480325665,420.82649565331104,196.3225442620551,423.95627138203275,267.52494209047353,474.0326830415798,251.87606344686503,465.4257997875951,287.8684843271645,383.2691869086508,342.6395595797941
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_654.png,154.0131147797871,24.96732311454278,320.67367233421703,243.26918019288047,187.65820386354525,22.619991318001496,168.0971055590347,55.482636469579234,206.43685823587538,56.26508040175963,204.87197037151455,129.81481002671933,237.73461552309226,118.8605949761934,226.78040047256636,143.11635687378651,270.59726067467,232.3149651423546,229.1277322691076,112.60104351875003,453.6891408048888,206.49431538040056,236.95217159091186,142.33391294160606,258.07815775978327,154.8530158564928,262.7728213528658,121.20792677273465,317.5438966054953,167.37211877137952,320.67367233421703,129.81481002671927,348.0592099605318,154.07057192431233,439.6051500256412,193.97521246551383
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_663.png,208.78419003241666,165.80723090701878,366.83786433286195,321.5135734109227,222.08573687948382,307.4295826316752,259.64304562414407,303.51736297077304,243.99416698053562,270.6547178191953,326.15077985948,292.5631479202471,308.15456941933024,247.18139985378258,347.27676602835135,246.39895592160218,341.017214570908,157.98279158521444,416.91427599240893,115.73081924747157,544.4526369378177,202.5820957194984,424.73871531421315,189.28054887243127,459.94869226233214,183.0209974149879,452.9066968727084,157.9827915852144,506.1128842609771,190.06299280461167,491.2464495495491,146.246132602508,522.544206836766,165.02478697483815,484.98689809210566,118.07815104401283
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_668.png,347.2767660283514,120.42548284055414,535.8457536838331,247.18139985378247,379.3569672477487,244.05162412506087,427.08604711075446,234.6622969388958,406.74250487406346,199.4523199907768,477.16245877030144,219.0134182952873,452.1242529405279,174.41411416100323,487.334229888647,189.28054887243127,516.2846553793225,128.2499221623583,186.87575993136483,197.88743212641606,341.79965850308844,347.33422317287665,215.82618542204045,330.90290059708786,262.7728213528658,297.25781151332967,208.00174610023623,277.6967132088191,304.24234975842813,323.0784612752836,273.7270364033917,292.5631479202471,296.4179104366239,284.7387085984429,321.45611626639743,201.7996517873181
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_676.png,329.28055558820165,221.36075009182866,524.8915386333072,340.2922277832527,497.5060010069924,330.9029005970877,510.02510392187924,288.6509282593449,474.0326830415798,291.7807039880666,476.38001483812104,247.96384378596292,444.2998136187237,283.17382073408197,447.4295893474454,257.353170972128,344.9294342318101,247.18139985378258,247.90638664143773,38.26886996160988,337.8874388421863,221.36075009182866,301.1125740297065,42.96353355469239,268.24992887812874,68.00173938446594,294.8530225722631,86.78039375679606,269.8148167424896,125.12014643363676,311.28434514805195,108.68882385784786,287.0285832504589,139.98658114506475,283.1163635895567,206.49431538040068
labeled-data,0085,A_male_meet_with_the_other_cage_male_top_view1_2022-08-10_15-40-59_877.png,312.06678908023235,178.32633382190545,507.6777721253379,341.85711564761357,497.5060010069924,332.4677884614485,466.20824371977557,293.34559185242745,456.8189165336105,319.94868554656176,425.5211592463936,255.7882831077672,396.570733755718,289.43337219152534,396.570733755718,251.8760634468651,316.7614526733149,183.02099741498796,366.0554204006815,175.19655809318374,535.0633097516527,322.296017343103,484.98689809210566,304.2998069029533,516.2846553793225,276.1318253444581,490.4640056173686,269.8722738870147,496.723557074812,230.75007727799363,451.3418090083475,255.00583917558674,469.3380194484972,226.83785761709152,376.227191519027,188.49810494025087
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_123.png,330.0629995203821,214.31875470220484,500.6357767357141,329.33801273272684,495.9411131426316,315.25402195347925,474.0326830415798,257.353170972128,456.8189165336105,264.3951663617518,427.86849104293486,233.87985300671534,359.01342501105773,284.7387085984428,355.1012053501556,247.18139985378258,346.49432209617095,233.097409074535,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_183.png,323.0210041307583,186.93321707589007,412.2196123993264,257.35317097212805,337.10499491000587,210.40653504130273,342.58210243526884,197.887432126416,364.49053253632064,200.23476392295726,345.71187816399055,223.70808188836992,387.1814065695529,212.753866837844,373.8798597224857,219.01341829528735,362.1432007397794,255.0058391755868,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_245.png,162.61999803377174,211.1889789734833,293.28813470790226,325.42579307182484,191.57042352444736,321.5135734109228,231.4750640656489,261.2653906330303,184.52842813482357,256.57072703994777,272.16214853903085,255.00583917558686,206.43685823587538,229.9676333458134,266.6850410137679,229.96763334581334,287.0285832504589,202.58209571949857,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_255.png,52.29540359633222,0.7115612169497467,252.6010502345203,306.64713869949475,78.11605335828615,55.48263646957929,104.71914705242051,21.055103453640697,80.46338515482742,10.100888403114794,197.82997498189073,103.21171633258498,132.10468467873528,108.68882385784798,178.26887667738018,150.15835226341034,222.08573687948382,293.34559185242756,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_295.png,25.692309902197866,0.7115612169497751,240.86439125181397,262.8302784973911,73.42138976520363,89.12772555333746,52.29540359633222,21.055103453640726,68.72672617212109,11.66577626747565,195.48264318534947,18.707771657099357,128.19246501783317,57.82996826612052,179.83376454174103,60.17730006266177,175.92154488083892,247.9638437859631,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_52.png,204.08952643933412,167.37211877137958,315.97900874113446,244.83406805724132,301.8950179618869,207.27675931258108,285.46369538609804,186.93321707589013,274.5094803355721,192.4103246011531,240.86439125181397,186.93321707589013,247.12394270925734,220.57830615964826,228.3452883369272,214.3187547022049,215.04374148986003,229.18518941363294,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_528.png,294.8530225722631,175.19655809318374,417.6967199245894,237.00962873543705,411.43716846714597,225.27296975273072,399.70050948443964,198.66987605859634,385.61651870519205,201.01720785513766,369.1851961294032,201.79965178731806,341.79965850308844,219.7958622274678,327.7156677238408,210.40653504130273,300.330130097526,215.8836425665657,238.5170594552727,172.06678236446209,321.45611626639743,266.74249815829313,316.7614526733149,200.23476392295726,297.20035436880437,186.15077314370967,310.50190121587156,190.84543673679218,254.16593809888116,211.18897897348324,289.37591504700015,220.57830615964826,263.5552652850462,222.92563795618952,265.9025970815875,261.2653906330302
labeled-data,0085,A_male_meet_with_the_same_cage_mate_face_view_3_2022-08-10_15-41-02_624.png,318.3263405376758,187.71566100807053,457.6013604657909,292.563147920247,450.5593650761671,211.18897897348307,423.17382744985235,186.1507731437096,398.91806555225924,201.01720785513766,413.0020563315068,250.31117558250423,358.2309810788773,251.8760634468651,362.92564467195984,226.83785761709157,344.1469902996297,211.9714229056636,214.2612975576796,129.81481002671933,319.8912284020366,221.36075009182866,307.37212548714984,139.20413721288435,296.4179104366239,141.5514690094256,317.5438966054953,147.02857653468857,262.7728213528658,181.45610955062716,286.24613931827844,193.9752124655139,252.6010502345203,204.14698358385942,225.99795654038593,209.6240911091224
